Title,Author,Avg_rating
The Four Loves,"Lewis, C.S.",4.14
Everything Happens for a Reason: And Other Lies I've Loved,"Bowler, Kate",3.80
Blue Like Jazz: Nonreligious Thoughts on Christian Spirituality,"Miller, Donald",3.90
Find Your People: Building Deep Community in a Lonely World,"Allen, Jennie *",4.30
The Pursuit of God: The Human Thirst for the Divine,"Tozer, A.W.",4.35
The Reason for God: Belief in an Age of Skepticism,"Keller, Timothy J.",4.18
A Stranger's Game,"Coble, Colleen *",4.03
God Bless This Mess: Learning to Live and Love Through Life's Best (and Worst) Moments,"Brown, Hannah",3.82
Bookshop by the Sea,"Hunter, Denise *",3.83
Redeeming Love,"Rivers, Francine *",4.50
Crazy Love: Overwhelmed by a Relentless God,"Chan, Francis",4.15
The Screwtape Letters,"Lewis, C.S.",4.24
Mere Christianity,"Lewis, C.S.",4.34
The Hiding Place: The Triumphant True Story of Corrie Ten Boom,"ten Boom, Corrie",4.43
The Problem of Pain,"Lewis, C.S.",4.10
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,"Burpo, Todd",4.01
Once Upon a Wardrobe,"Callahan, Patti *",4.41
The Case for Christ,"Strobel, Lee",4.17
The Great Divorce,"Lewis, C.S.",4.29
The Stranger in the Lifeboat,"Albom, Mitch *",4.17
